approve_for_seed,entity_type,external_id,name,category_slug,address,latitude,longitude,quality_score,quality_reasons,image_count,source_url
True,location,osm-relation-8552348,Ngu Hanh Son,check-in-noi-tieng,Da Nang,16.0017096,108.2596132,101,weak_address,3,https://www.openstreetmap.org/relation/8552348
True,location,osm-way-694831926,Cau Rong,check-in-noi-tieng,Da Nang,16.0611683,108.2278981,100,weak_address,3,https://www.openstreetmap.org/way/694831926
True,location,osm-relation-19000664,Bai bien My Khe,check-in-noi-tieng,Da Nang,16.0756098,108.2547352,96,weak_address,3,https://www.openstreetmap.org/relation/19000664
True,location,osm-way-683416736,Cau Vang,check-in-noi-tieng,Da Nang,15.9949242,107.9962304,96,weak_address,3,https://www.openstreetmap.org/way/683416736
True,location,osm-node-1036552571,Deo Hai Van,check-in-noi-tieng,Da Nang,16.1874495,108.1307217,96,weak_address,3,https://www.openstreetmap.org/node/1036552571
True,location,osm-node-11161070775,Dragon's Head (Fire Show),check-in-noi-tieng,Da Nang,16.0612476,108.2296554,96,weak_address,3,https://www.openstreetmap.org/node/11161070775
True,location,osm-node-1623183649,Nui Son Tra,hang-dong-nui-non,Da Nang,16.1195909,108.2866498,96,weak_address,3,https://www.openstreetmap.org/node/1623183649
True,location,osm-relation-16028838,Vinh Da Nang,hang-dong-nui-non,Da Nang,16.1371683,108.1828809,96,weak_address,3,https://www.openstreetmap.org/relation/16028838
True,location,osm-node-12647208262,Bai Bien Son Tra,check-in-noi-tieng,Da Nang,16.099021,108.2549854,93,weak_address,3,https://www.openstreetmap.org/node/12647208262
True,location,osm-node-13687068650,Linh Phong Bao Thap,check-in-noi-tieng,Da Nang,15.9980969,107.985969,93,weak_address,3,https://www.openstreetmap.org/node/13687068650
True,location,osm-node-13846529850,Nha Bia,bao-tang-di-tich,Da Nang,15.9979511,107.9857628,93,weak_address,3,https://www.openstreetmap.org/node/13846529850
True,location,osm-way-359114064,Sun World Ba Na Hills,cong-vien-nuoc,Da Nang,15.9956307,107.9897217,93,weak_address,3,https://www.openstreetmap.org/way/359114064
True,location,osm-node-5273998823,Cau Tran Thi Ly,check-in-noi-tieng,Da Nang,16.050179,108.2293814,92,weak_address,3,https://www.openstreetmap.org/node/5273998823
True,location,osm-node-10154412164,Fantasy Park,cong-vien-nuoc,Da Nang,15.9968339,107.9888036,92,weak_address,3,https://www.openstreetmap.org/node/10154412164
True,location,osm-way-630377259,Bai bien Tien Sa,check-in-noi-tieng,Da Nang,16.1243611,108.2202733,88,weak_address,3,https://www.openstreetmap.org/way/630377259
True,location,osm-way-1204900824,Bai tam Non Nuoc,check-in-noi-tieng,Da Nang,16.0054851,108.2690189,88,weak_address,3,https://www.openstreetmap.org/way/1204900824
True,location,osm-node-1538334281,Ban Co Peak,check-in-noi-tieng,Da Nang,16.1189286,108.2720036,88,weak_address,3,https://www.openstreetmap.org/node/1538334281
True,location,osm-way-303341669,Bao tang Ho Chi Minh,bao-tang-di-tich,Da Nang,16.0464824,108.2182471,88,weak_address,3,https://www.openstreetmap.org/way/303341669
True,location,osm-way-118691767,Bao tang Quan khu 5,bao-tang-di-tich,Da Nang,16.0478741,108.2173603,88,weak_address,3,https://www.openstreetmap.org/way/118691767
True,location,osm-node-5276547123,Cau Nguyen Van Troi Bridge,check-in-noi-tieng,Da Nang,16.0510888,108.2292466,88,weak_address,3,https://www.openstreetmap.org/node/5276547123
True,location,osm-node-7276380289,Cau Song Han,check-in-noi-tieng,Da Nang,16.0721398,108.2268106,88,weak_address,3,https://www.openstreetmap.org/node/7276380289
True,location,osm-node-5273999121,Cau Thuan Phuoc,check-in-noi-tieng,Da Nang,16.0948084,108.2200134,88,weak_address,3,https://www.openstreetmap.org/node/5273999121
True,location,osm-way-675604354,Cong Vien APEC,cong-vien-vuon-hoa,Da Nang,16.0585958,108.2232732,88,weak_address,3,https://www.openstreetmap.org/way/675604354
True,location,osm-way-149699484,Cong vien Bien Dong,cong-vien-vuon-hoa,Da Nang,16.0681469,108.2459283,88,weak_address,3,https://www.openstreetmap.org/way/149699484
False,location,osm-node-11934169470,Queen Cobra,check-in-noi-tieng,Da Nang,16.0432987,108.22599,92,weak_address,3,https://www.openstreetmap.org/node/11934169470
False,location,osm-node-12815941401,7 wonders,check-in-noi-tieng,Da Nang,16.0988101,108.2244144,88,weak_address,3,https://www.openstreetmap.org/node/12815941401
False,location,osm-node-8520834017,A Couple of Fjords to Cross Here,check-in-noi-tieng,Da Nang,16.1492858,108.060537,88,weak_address,3,https://www.openstreetmap.org/node/8520834017
False,location,osm-node-8771291917,Amazing Valley and River View,check-in-noi-tieng,Da Nang,16.1469226,108.0688889,88,weak_address,3,https://www.openstreetmap.org/node/8771291917
False,location,osm-node-8344961818,Amazing Valley Viewpoint,check-in-noi-tieng,Da Nang,16.0586525,108.0148707,88,weak_address,3,https://www.openstreetmap.org/node/8344961818
False,location,osm-node-8345051017,Amazing Valley Viewpoint,check-in-noi-tieng,Da Nang,16.0608673,108.013933,88,weak_address,3,https://www.openstreetmap.org/node/8345051017
False,location,osm-node-8715429217,Amazing Valley Viewpoint,check-in-noi-tieng,Da Nang,16.1367984,108.0894967,88,weak_address,3,https://www.openstreetmap.org/node/8715429217
False,location,osm-way-1415072216,Bai Ba Da,check-in-noi-tieng,Da Nang,16.1939524,108.16435,88,weak_address,3,https://www.openstreetmap.org/way/1415072216
False,location,osm-way-1330726238,Bai bien Bac,check-in-noi-tieng,Da Nang,16.123965,108.3079479,88,weak_address,3,https://www.openstreetmap.org/way/1330726238
False,location,osm-way-1205391949,Bai bien Tan Tra,check-in-noi-tieng,Da Nang,15.9840305,108.2799055,88,weak_address,3,https://www.openstreetmap.org/way/1205391949
False,location,osm-node-13040467529,Bai Da,check-in-noi-tieng,Da Nang,16.0988527,108.3012745,88,weak_address,3,https://www.openstreetmap.org/node/13040467529
False,location,osm-way-508243736,Bai Ham,check-in-noi-tieng,Da Nang,16.1505237,108.1373248,88,weak_address,3,https://www.openstreetmap.org/way/508243736
False,location,osm-way-1415072215,Bai Sung Co,check-in-noi-tieng,Da Nang,16.1903109,108.1559182,88,weak_address,3,https://www.openstreetmap.org/way/1415072215
False,location,osm-way-508244759,Bai Xoan,check-in-noi-tieng,Da Nang,16.1665742,108.1509793,88,weak_address,3,https://www.openstreetmap.org/way/508244759
False,location,osm-way-1481663044,Ban sao nha san,bao-tang-di-tich,Da Nang,16.0472363,108.217429,88,weak_address,3,https://www.openstreetmap.org/way/1481663044
False,location,osm-node-5281444722,Basket Boats,check-in-noi-tieng,Da Nang,16.1020467,108.2602185,88,weak_address,3,https://www.openstreetmap.org/node/5281444722
False,location,osm-node-6346457485,Bay View,check-in-noi-tieng,Da Nang,16.1042359,108.3077299,88,weak_address,3,https://www.openstreetmap.org/node/6346457485
False,location,osm-node-8680939218,Beautiful View of Hoa Trung Reservoir and Son Tra,check-in-noi-tieng,Da Nang,16.0775838,108.0327157,88,weak_address,3,https://www.openstreetmap.org/node/8680939218
False,location,osm-node-8678722617,Beginning of Uphill Trail,check-in-noi-tieng,Da Nang,16.04012,108.0460365,88,weak_address,3,https://www.openstreetmap.org/node/8678722617
False,location,osm-node-8649471017,Cape and View of the Bay,check-in-noi-tieng,Da Nang,16.1183642,108.337563,88,weak_address,3,https://www.openstreetmap.org/node/8649471017
False,location,osm-way-1265740821,Cat Vang Beach,check-in-noi-tieng,Da Nang,16.1426647,108.2315842,88,weak_address,3,https://www.openstreetmap.org/way/1265740821
