id,entity_type,external_id,name,address,latitude,longitude,category,has_image_candidate,duplicate_source_table,duplicate_source_id,duplicate_match_score,score,review_bucket,review_reasons,source_url
4,location,osm-node-2177056870,Thac Toc Tien,Da Nang,16.0244662,108.0262303,check-in-noi-tieng,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/2177056870
5,location,osm-node-4172034499,Non Nuoc Beach,Da Nang,16.0205336,108.261744,check-in-noi-tieng,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/4172034499
7,location,osm-node-4436290892,Danang and sea viewpoint,Da Nang,16.184926,108.1368673,check-in-noi-tieng,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/4436290892
10,location,osm-node-4924323121,Fishing Village and Fleet,Da Nang,16.1017543,108.2589632,check-in-noi-tieng,False,,,,5,manual_review,weak_address;missing_image_candidate;lodging_manual_review,https://www.openstreetmap.org/node/4924323121
11,location,osm-node-5072875821,Love Bridge,Da Nang,16.0513135,108.2309046,check-in-noi-tieng,False,locations,16,70.00,0,duplicate_reject_or_link,weak_address;missing_image_candidate;duplicate_match,https://www.openstreetmap.org/node/5072875821
12,location,osm-node-5272117924,Dragon Bridge West Viewpoint,Da Nang,16.0616142,108.2245243,check-in-noi-tieng,False,locations,24,70.00,0,duplicate_reject_or_link,weak_address;missing_image_candidate;duplicate_match,https://www.openstreetmap.org/node/5272117924
13,location,osm-node-5272117925,Fishing Boats,Da Nang,16.0661735,108.2294201,check-in-noi-tieng,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/5272117925
14,location,osm-node-5272119321,Dragon Bridge East Viewpoint,Da Nang,16.0618067,108.2298562,check-in-noi-tieng,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/5272119321
15,location,osm-node-5273998822,Cau Tien Son,Da Nang,16.0352694,108.2352722,check-in-noi-tieng,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/5273998822
17,location,osm-node-5273998830,Day & Night Viewpoint,Da Nang,16.0577748,108.2296131,check-in-noi-tieng,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/5273998830
19,location,osm-node-5273999125,River Viewpoint,Da Nang,16.0749403,108.2247139,check-in-noi-tieng,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/5273999125
20,location,osm-node-5273999621,Giant Egg Plants,Da Nang,16.0748758,108.2245799,check-in-noi-tieng,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/5273999621
22,location,osm-node-5281444722,Basket Boats,Da Nang,16.1020467,108.2602185,check-in-noi-tieng,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/5281444722
23,location,osm-node-5286977425,Nui Than Tai,Da Nang,15.9681262,108.0196301,check-in-noi-tieng,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/5286977425
24,location,osm-node-5383428522,Khu Du Lich Sinh Thai Suoi Luong,Da Nang,16.1559167,108.1098007,check-in-noi-tieng,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/5383428522
27,location,osm-node-6290544486,Da Nang view,Da Nang,16.126902,108.2458831,check-in-noi-tieng,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/6290544486
28,location,osm-node-6346457485,Bay View,Da Nang,16.1042359,108.3077299,check-in-noi-tieng,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/6346457485
29,location,osm-node-6346486685,Cay da dai thu,Da Nang,16.1226157,108.3316779,check-in-noi-tieng,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/6346486685
30,location,osm-node-6512888885,Cementerio militar franco-espanol de Y Pha Nho,Da Nang,16.1223304,108.2200384,bao-tang-di-tich,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/6512888885
31,location,osm-node-6528451001,Cay da Do Xu,Da Nang,16.0276784,108.2218873,check-in-noi-tieng,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/6528451001
34,location,osm-node-7505801985,Great Viewpoint,Da Nang,16.0922667,108.224322,check-in-noi-tieng,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/7505801985
40,location,osm-node-8032205986,Headland and View of Hai Van Mountains,Da Nang,16.1537132,108.2489294,check-in-noi-tieng,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/8032205986
43,location,osm-node-8041992686,Sunken Ship,Da Nang,16.1440025,108.2304513,check-in-noi-tieng,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/8041992686
44,location,osm-node-8041992688,Great of Hai Van Mountains,Da Nang,16.1430935,108.2361529,check-in-noi-tieng,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/8041992688
49,location,osm-node-8344961818,Amazing Valley Viewpoint,Da Nang,16.0586525,108.0148707,check-in-noi-tieng,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/8344961818
50,location,osm-node-8345051017,Amazing Valley Viewpoint,Da Nang,16.0608673,108.013933,check-in-noi-tieng,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/8345051017
51,location,osm-node-8345051317,End of the Proper Road,Da Nang,16.0571299,108.0305535,check-in-noi-tieng,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/8345051317
