id,slug,name,category,district,address,latitude,longitude,entity_types,external_ids,source_urls,has_thumbnail,has_website,has_phone,duplicate_name_count,recommended_action,review_note
115,a-nang-com-chay-2,"a Nang Com Chay 2",am-thuc-dia-phuong,"Da Nang","329, Duong Dinh Nghe, Da Nang",16.07075820,108.23295410,restaurant,osm-node-5804107053,https://www.openstreetmap.org/node/5804107053,no,no,no,1,add_image_then_review,
116,a-tri,"A tri",am-thuc-dia-phuong,"Da Nang","145, Nguyen Dang Giai, Da Nang",16.10338160,108.25782110,restaurant,osm-node-5911447385,https://www.openstreetmap.org/node/5911447385,no,no,no,1,add_image_then_review,
122,babylon-steakgarden,"Babylon Steakgarden",am-thuc-dia-phuong,"Da Nang","Da Nang",16.04177370,108.24835850,restaurant,osm-node-4352266089,https://www.openstreetmap.org/node/4352266089,no,yes,no,1,add_image_then_review,
128,banh-beo-291-nguyen-chi-thanh,"Banh beo 291 Nguyen Chi Thanh",am-thuc-dia-phuong,"Da Nang","291, Nguyen Chi Thanh, Da Nang",16.06693800,108.22090900,restaurant,osm-node-2988814633,https://www.openstreetmap.org/node/2988814633,no,no,no,1,add_image_then_review,
129,banh-mi,"Banh mi",am-thuc-dia-phuong,"Da Nang","Le Minh Trung, Da Nang",16.07171110,108.23980050,restaurant,osm-node-4656790491,https://www.openstreetmap.org/node/4656790491,no,no,no,1,add_image_then_review,
130,banh-mi-cham-pate,"Banh mi cham Pate",am-thuc-dia-phuong,"Da Nang","26, Chu Van An, Da Nang",16.05689930,108.21808850,restaurant,osm-node-6152597685,https://www.openstreetmap.org/node/6152597685,no,no,no,1,add_image_then_review,
131,banh-xeo-ba-duong,"Banh Xeo Ba Duong",am-thuc-dia-phuong,"Da Nang","23, Kiet 280 Hoang Dieu, Da Nang",16.05880340,108.21603490,restaurant,osm-node-4541527689,https://www.openstreetmap.org/node/4541527689,no,no,no,1,add_image_then_review,
132,bao-an-macrobiotic,"Bao An Macrobiotic",am-thuc-dia-phuong,"Da Nang","56, Duong Hoang Bich Son, Da Nang",16.07538280,108.24096020,restaurant,osm-node-5947469393,https://www.openstreetmap.org/node/5947469393,no,yes,no,1,add_image_then_review,
138,be-thui,"Be thui",am-thuc-dia-phuong,"Da Nang","Tue Tinh, Da Nang",16.05498440,108.22004080,restaurant,osm-node-4118223691,https://www.openstreetmap.org/node/4118223691,no,no,no,1,add_image_then_review,
139,be-thui-100,"be thui 100",am-thuc-dia-phuong,"Da Nang","Duong Dien Bien Phu, Da Nang",16.06588840,108.20027330,restaurant,osm-node-4109054391,https://www.openstreetmap.org/node/4109054391,no,no,no,1,add_image_then_review,
142,bo-ne-quoc-minh,"Bo Ne Quoc Minh",am-thuc-dia-phuong,"Da Nang","28, Duong Phan Dinh Phung, Da Nang",16.07051600,108.22201970,restaurant,osm-node-4755650721,https://www.openstreetmap.org/node/4755650721,no,no,no,1,add_image_then_review,
143,bun-bo-ba-dieu,"Bun Bo Ba Dieu",am-thuc-dia-phuong,"Da Nang","17, Tran Tong, Da Nang",16.05856120,108.21086400,restaurant,osm-node-6147088185,https://www.openstreetmap.org/node/6147088185,no,no,no,1,add_image_then_review,
144,bun-cha-ca-109,"Bun cha ca 109",am-thuc-dia-phuong,"Da Nang","Da Nang",16.07438870,108.22079580,restaurant,osm-node-5484764821,https://www.openstreetmap.org/node/5484764821,no,no,no,1,add_image_then_review,
145,bun-cha-ca-thuy,"Bun cha ca Thuy",am-thuc-dia-phuong,"Thanh Khe","236, Hai Phong, Thanh Khe, Da Nang",16.07057970,108.20726620,restaurant,osm-node-4080898314,https://www.openstreetmap.org/node/4080898314,no,no,no,1,add_image_then_review,
146,bun-cha-hue-chi,"Bun Cha Hue Chi",am-thuc-dia-phuong,"Da Nang","So 6, Duong Hoang Quoc Viet, Da Nang",16.08484950,108.22966190,restaurant,osm-node-5123239421,https://www.openstreetmap.org/node/5123239421,no,no,no,1,add_image_then_review,
147,bun-mam-van,"Bun Mam Van",am-thuc-dia-phuong,"Da Nang","K23/14, Tran Ke Xuong, Da Nang",16.06670150,108.21687080,restaurant,osm-node-6152685685,https://www.openstreetmap.org/node/6152685685,no,no,no,1,add_image_then_review,
158,chao-dinh-duong-huyen-tram,"CHAO DINH DUONG HUYEN TRAM",am-thuc-dia-phuong,"Da Nang","DT 602, Duong so 5, Da Nang",16.07641220,108.11328310,restaurant,osm-node-6071963085,https://www.openstreetmap.org/node/6071963085,no,no,no,1,add_image_then_review,
159,che-thai-lien,"Che Thai Lien",am-thuc-dia-phuong,"Da Nang","189, Duong Hoang Dieu, Da Nang",16.06060960,108.21714980,restaurant,osm-node-6151185387,https://www.openstreetmap.org/node/6151185387,no,no,no,1,add_image_then_review,
165,com-tam-co-nga,"Com Tam Co Nga",am-thuc-dia-phuong,"Da Nang","Duong Nguyen Duy Hieu, Da Nang",16.05659830,108.24217000,restaurant,osm-node-4605114489,https://www.openstreetmap.org/node/4605114489,no,no,no,1,add_image_then_review,
169,cut-lon-me-ba-lanh,"Cut lon me Ba Lanh",am-thuc-dia-phuong,"Da Nang","35, Ngo Gia Tu, Da Nang",16.06848120,108.21743270,restaurant,osm-node-6152615685,https://www.openstreetmap.org/node/6152615685,no,no,no,1,add_image_then_review,
173,de-nghia,"De nghia",am-thuc-dia-phuong,"Da Nang","Kiet 43 Ngu Hanh Son, Da Nang",16.04959120,108.23912000,restaurant,osm-node-4118236589,https://www.openstreetmap.org/node/4118236589,no,no,no,1,add_image_then_review,
176,doi-gio,"Doi gio",am-thuc-dia-phuong,"Thanh Khe","258, Nguyen Van Linh, Thanh Khe, Da Nang",16.05980080,108.20935360,restaurant,osm-node-5293335937,https://www.openstreetmap.org/node/5293335937,no,no,no,1,add_image_then_review,
184,goom-vegan,"Goom Vegan",am-thuc-dia-phuong,"Da Nang","144, Nguyen Chi Thanh, Da Nang",16.06725100,108.22090290,restaurant,osm-node-5793917955,https://www.openstreetmap.org/node/5793917955,no,no,yes,1,add_image_then_review,
186,hai-san-nam-danh,"Hai san Nam Danh",am-thuc-dia-phuong,"Da Nang","K139/H59/38, Tran Quang Khai, Da Nang",16.10442340,108.25359850,restaurant,osm-node-6151186386,https://www.openstreetmap.org/node/6151186386,no,no,no,1,add_image_then_review,
190,hang-s-kitchen,"Hang's Kitchen",am-thuc-dia-phuong,"Da Nang","90, Chau Thi Vinh Te, Da Nang",16.05123420,108.24022600,restaurant,osm-node-4694652890,https://www.openstreetmap.org/node/4694652890,no,no,no,1,add_image_then_review,
191,hau-sua-tom-hum,"Hau Sua & Tom Hum",am-thuc-dia-phuong,"Da Nang","Lo 13, Duong Vo Nguyen Giap, Da Nang",16.08351210,108.24768460,restaurant,osm-node-4351989390,https://www.openstreetmap.org/node/4351989390,no,no,no,1,add_image_then_review,
202,huong-cau,"Huong Cau",am-thuc-dia-phuong,"Da Nang","So thua 3-A5.6, 2 Thang 9, Da Nang",16.04823520,108.22313940,restaurant,osm-node-2988980334,https://www.openstreetmap.org/node/2988980334,no,no,no,1,add_image_then_review,
204,kfc,KFC,am-thuc-dia-phuong,"Da Nang","Thanh Khe Dong, Thanh Khe, Da Nang, Vietnam, Da Nang",16.06651200,108.18703590,restaurant,osm-node-5699726168,https://www.openstreetmap.org/node/5699726168,no,yes,no,1,add_image_then_review,
209,koko-green-kafe-63,"koko Green kafe 63",am-thuc-dia-phuong,"Da Nang","234, Duong Phan Chau Trinh, Da Nang",16.06002950,108.21927030,restaurant,osm-node-5947905986,https://www.openstreetmap.org/node/5947905986,no,no,no,1,add_image_then_review,
213,la-luna,"La Luna",am-thuc-dia-phuong,"Da Nang","187, Duong Huyen Tran Cong Chua, Da Nang",16.00317750,108.26528430,restaurant,osm-node-4150425790,https://www.openstreetmap.org/node/4150425790,no,no,no,1,add_image_then_review,
214,lam-vien-restaurant,"Lam Vien Restaurant",am-thuc-dia-phuong,"Da Nang","Da Nang",16.04223130,108.24666360,restaurant,osm-node-5485445021,https://www.openstreetmap.org/node/5485445021,no,yes,no,1,add_image_then_review,
